TID GID GT TTy ReqT TAr TT Res
390	 160	 5	 A	 160	 160	 10	 B	
391	 159	 1	 D	 159	 160	 10	 S	
392	 169	 1	 C	 169	 169	 2	 A	
393	 124	 2	 C	 124	 170	 1	 B	
394	 161	 1	 D	 161	 163	 8	 S	
395	 170	 1	 C	 170	 170	 2	 A	
396	 154	 3	 D	 154	 164	 8	 S	
397	 165	 3	 A	 165	 165	 8	 B	
398	 171	 1	 C	 171	 171	 2	 A	
399	 148	 5	 Q	 148	 148	 25	 S	
400	 165	 3	 C	 165	 173	 1	 B	
401	 162	 1	 D	 162	 164	 10	 S	
402	 148	 5	 C	 148	 173	 2	 B	
403	 122	 2	 D	 122	 165	 10	 S	
404	 126	 2	 P	 126	 126	 50	 A	
405	 160	 5	 Q	 160	 160	 16	 S	
406	 163	 1	 D	 163	 165	 12	 S	
407	 173	 3	 A	 173	 173	 4	 B	
408	 126	 2	 C	 126	 176	 1	 A	
409	 164	 1	 D	 164	 166	 12	 S	
410	 176	 1	 C	 176	 176	 2	 B	
411	 160	 5	 C	 160	 176	 2	 A	
412	 166	 1	 D	 166	 167	 12	 S	
413	 173	 3	 C	 173	 177	 2	 B	
414	 177	 1	 C	 177	 177	 2	 A	
415	 172	 4	 Q	 172	 172	 8	 S	
416	 178	 1	 C	 178	 178	 2	 B	
417	 158	 3	 D	 158	 168	 13	 S	
418	 180	 1	 C	 180	 180	 1	 B	
419	 130	 2	 P	 130	 130	 52	 A	
420	 169	 1	 D	 169	 171	 11	 S	
421	 181	 1	 C	 181	 181	 1	 B	
422	 130	 2	 C	 130	 182	 1	 A	
423	 124	 2	 D	 124	 171	 12	 S	
424	 175	 5	 A	 175	 175	 9	 B	
425	 175	 5	 Q	 175	 175	 9	 S	
426	 170	 1	 D	 170	 172	 13	 S	
427	 183	 1	 C	 183	 183	 2	 B	
428	 134	 2	 P	 134	 134	 52	 A	
429	 171	 1	 D	 171	 173	 13	 S	
430	 175	 5	 C	 175	 184	 2	 B	
431	 184	 1	 C	 184	 184	 3	 A	
432	 179	 4	 Q	 179	 179	 8	 S	
433	 185	 1	 C	 185	 185	 2	 B	
434	 134	 2	 C	 134	 186	 2	 A	
435	 165	 3	 D	 165	 174	 14	 S	
436	 187	 1	 C	 187	 187	 1	 B	
437	 182	 4	 Q	 182	 182	 7	 S	
438	 186	 5	 A	 186	 186	 4	 B	
439	 148	 5	 D	 148	 175	 15	 S	
440	 135	 2	 P	 135	 135	 56	 A	
441	 189	 1	 C	 189	 189	 2	 B	
442	 126	 2	 D	 126	 177	 14	 S	
443	 135	 2	 C	 135	 191	 1	 A	
